name,date,category,tags,labels
スーパーストリートファイターII,1993-09-10,software,"capcom","arcade"
スーパーストリートファイターIIX,1994-02-23,software,"capcom","arcade"
ストリートファイターZERO,1995-06-27,software,"capcom","arcade"
ストリートファイターZERO 2,1996-03-25,software,"capcom","arcade"
ストリートファイターEX,1996-11-30,software,"capcom","arcade"
ストリートファイターIII,1997-02-04,software,"capcom","arcade"
ストリートファイターIII 2nd,1997-10-16,software,"capcom","arcade"
ストリートファイターZERO3,1998-07-01,software,"capcom","arcade"
ストリートファイターIII 3rd,1999-05-12,software,"capcom","arcade"
ストリートファイターEX2,1998-03-12,software,"capcom","arcade"
ストリートファイターIV,2008-07-18,software,"capcom","arcade"
ストリートファイターV,2016-02-18,software,"capcom","multi"
ストリートファイター6,2023-06-02,software,"capcom","multi"

ヴァンパイア,1994-06-30,software,"capcom","arcade"
ヴァンパイアハンター,1995-03-20,software,"capcom","arcade"
ヴァンパイアセイヴァー,1997-05-19,software,"capcom","arcade"
ヴァンパイアハンター2,1997-09-13,software,"capcom","arcade"
ヴァンパイアセイヴァー2,1997-09-13,software,"capcom","arcade"

私立ジャスティス学園,1997-11-17,software,"capcom","arcade"
ジョジョの奇妙な冒険,1998-12-18,software,"capcom","arcade"
MARVEL SUPER HEROES,1995-10-24,software,"capcom","arcade"
X-MEN VS. STREET FIGHTER,1996-10-04,software,"capcom","arcade"
MARVEL VS. STREET FIGHTER,1997-07-07,software,"capcom","arcade"
MARVEL vs. CAPCOM,1998-01-12,software,"capcom","arcade"
MARVEL vs. CAPCOM 2,2000-03-10,software,"capcom","arcade"
CAPCOM vs. SNK,2000-08-18,software,"capcom","arcade"
CAPCOM vs. SNK 2,2001-08-03,software,"capcom","arcade"

ワールドヒーローズ,1992-07-28,software,"adk","arcade"
ワールドヒーローズ2,1993-04-28,software,"adk","arcade"
ワールドヒーローズ2 JET,1994-04-26,software,"adk","arcade"
ワールドヒーローズパーフェクト,1995-05-25,software,"adk","arcade"
痛快GANGAN行進曲,1994-07-26,software,"adk","arcade"

鉄拳,1994-12-00,software,"namco","arcade"
サイキックフォース,1995-10-00,software,"taito","arcade"
DEAD OR ALIVE,1996-11-26,software,"tecmo","arcade"
GUILTY GEAR X,2000-07-19,software,"arcsys","arcade"
GUILTY GEAR XX,2002-05-23,software,"arcsys","arcade"
ブレイブルー,2008-11-20,software,"arcsys","arcade"

東京ディズニーランド,1983-04-15,news,"japan"
平成元年,1989-01-08,news,"japan"
消費税3%,1989-04-01,news,"japan"
阪神・淡路大震災,1995-01-17,news,"japan"
地下鉄サリン事件,1995-03-20,news,"japan"
携帯1000万台突破,1996-04-06,news,"japan"
消費税5%,1997-04-01,news,"japan"
郵便番号7桁,1998-02-02,news,"japan"
2000円札,2000-07-19,news,"japan"
BSデジタル放送,2000-12-01,news,"japan"
USJ,2001-03-31,news,"japan"
東京ディズニーシー,2001-09-04,news,"japan"
住基ネット,2002-08-05,news,"japan"
地上デジタル放送,2003-12-01,news,"japan"
東日本大震災,2011-03-11,news,"japan"
東京スカイツリー,2012-05-22,news,"japan"
消費税8%,2014-04-01,news,"japan"
デング熱,2014-08-27,news,"japan"
ドローン規制,2015-12-10,news,"japan"
マイナンバー,2016-01-01,news,"japan"
熊本地震,2016-04-14,news,"japan"
令和元年,2019-05-01,news,"japan"
消費税10%,2019-10-01,news,"japan"
新型コロナ（国内）,2020-01-15,news,"japan"

EU,1993-11-01,news,"world"
米同時多発テロ,2001-09-11,news,"world"
ユーロ,2002-01-01,news,"world"
イラク戦争,2003-03-20,news,"world"

セガ ハード撤退,2001-03-31,news,"sega"
SNK 破産,2001-10-30,news,"snk"
SNKプレイモア,2003-07-01,news,"snk"
SNK（商号変更）,2016-12-01,news,"snk"

SDガンダム カードダス,1988-07-00,news,"toy,japan,bandai"
ドラゴンボール カードダス,1988-11-00,news,"toy,japan,bandai"
バーコードバトラー,1991-00-00,news,"toy,japan,epoch"
バーコードバトラーⅡ,1992-00-00,news,"toy,japan,epoch"
たまごっち,1996-11-23,news,"toy,japan,bandai"

Yahoo! JAPAN,1996-04-01,news,"service,japan"
楽天市場,1997-05-01,news,"service,japan"
iモード,1999-02-01,news,"service,japan"
Suica,2001-11-18,news,"service,japan"
Google検索,2000-08-03,news,"service,world,google"
Amazon Japan,2000-11-01,news,"service,world,amazon"
YouTube,2007-06-19,news,"service,world,google"
ChatGPT,2022-11-30,news,"service,world"
ポケモンGO,2016-07-22,news,"service,pokemon"

Windows 95,1995-11-23,news,"digital,world,microsoft"
Windows 98,1998-07-25,news,"digital,world,microsoft"
Windows XP,2001-10-25,news,"digital,world,microsoft"
Windows Vista,2007-01-30,news,"digital,world,microsoft"
Windows 7,2009-10-22,news,"digital,world,microsoft"
Windows 8,2012-10-26,news,"digital,world,microsoft"
Windows 10,2015-07-29,news,"digital,world,microsoft"
Windows 11,2021-10-05,news,"digital,world,microsoft"

iPod,2001-10-23,news,"digital,world,apple"
iPhone 3G,2008-07-11,news,"digital,world,apple"
iPad,2010-05-28,news,"digital,world,apple"
Appleシリコン M1,2020-11-11,news,"digital,world,apple"

AKB48,2005-12-08,news,"music,japan"

映画 AKIRA,1988-07-16,news,"film,japan"
映画 君の名は。,2016-08-26,news,"film,japan"
映画 風の谷のナウシカ,1984-03-11,news,"film,japan,ghibli"
映画 天空の城ラピュタ,1986-08-02,news,"film,japan,ghibli"
映画 となりのトトロ,1988-04-16,news,"film,japan,ghibli"
映画 魔女の宅急便,1989-07-29,news,"film,japan,ghibli"
映画 もののけ姫,1997-07-12,news,"film,japan,ghibli"
映画 千と千尋の神隠し,2001-07-20,news,"film,japan,ghibli"
映画 ハウルの動く城,2004-11-20,news,"film,japan,ghibli"
映画 崖の上のポニョ,2008-07-19,news,"film,japan,ghibli"
映画 風立ちぬ,2013-07-20,news,"film,japan,ghibli"
映画 君たちはどう生きるか,2023-07-14,news,"film,ghibli"
映画 ゴーストバスターズ,1984-12-02,news,"film,world"
映画 バック・トゥ・ザ・フューチャー,1985-12-07,news,"film,world"
映画 タイタニック,1997-12-20,news,"film,world"
映画 マトリックス,1999-09-11,news,"film,world"

アニメ ポケモン,1997-04-01,news,"anime,pokemon"
